"filename", "language", "Markdown", "Kotlinscript", "XML", "Kotlin", "Python", "comment", "blank", "total"
"e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\java\com\vincentwetzel\androidscreensaver\data\repository\GalleryFolderBrowserActivity.kt", "Kotlin", 0, 0, 0, 0, 0, 0, 1, 1
"e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\java\com\vincentwetzel\androidscreensaver\data\repository\GalleryPhotoRepository.kt", "Kotlin", 0, 0, 0, 15, 0, 0, 1, 16
"e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\java\com\vincentwetzel\androidscreensaver\data\repository\GoogleDrivePhotoRepository.kt", "Kotlin", 0, 0, 0, -3, 0, -8, -5, -16
"e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\java\com\vincentwetzel\androidscreensaver\data\repository\GoogleDriveRepository.kt", "Kotlin", 0, 0, 0, 3, 0, 3, 1, 7
"e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\java\com\vincentwetzel\androidscreensaver\di\RepositoryModule.kt", "Kotlin", 0, 0, 0, -52, 0, -3, -7, -62
"e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\java\com\vincentwetzel\androidscreensaver\dream\PhotoScreensaverService.kt", "Kotlin", 0, 0, 0, 9, 0, 0, 0, 9
"e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\java\com\vincentwetzel\androidscreensaver\dream\SlideshowManager.kt", "Kotlin", 0, 0, 0, -3, 0, -1, -1, -5
"e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\java\com\vincentwetzel\androidscreensaver\service\ScheduleService.kt", "Kotlin", 0, 0, 0, 5, 0, 0, 0, 5
"e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\java\com\vincentwetzel\androidscreensaver\ui\ScreensaverPreviewActivity.kt", "Kotlin", 0, 0, 0, 4, 0, 0, 1, 5
"e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\java\com\vincentwetzel\androidscreensaver\ui\main\MainActivity.kt", "Kotlin", 0, 0, 0, 54, 0, 3, 6, 63
"e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\java\com\vincentwetzel\androidscreensaver\ui\main\SourceType.kt", "Kotlin", 0, 0, 0, -4, 0, 0, 0, -4
"e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\java\com\vincentwetzel\androidscreensaver\ui\settings\DebugSettingsActivity.kt", "Kotlin", 0, 0, 0, 32, 0, 0, 2, 34
"e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\java\com\vincentwetzel\androidscreensaver\ui\settings\DecorationSettingsActivity.kt", "Kotlin", 0, 0, 0, 25, 0, -1, 7, 31
"e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\java\com\vincentwetzel\androidscreensaver\ui\settings\PhotoInfoSettingsActivity.kt", "Kotlin", 0, 0, 0, 12, 0, 0, 1, 13
"e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\java\com\vincentwetzel\androidscreensaver\ui\settings\ScheduleSettingsActivity.kt", "Kotlin", 0, 0, 0, 29, 0, 0, 1, 30
"e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\java\com\vincentwetzel\androidscreensaver\ui\settings\SettingsFragment.kt", "Kotlin", 0, 0, 0, 57, 0, 1, 1, 59
"e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\java\com\vincentwetzel\androidscreensaver\ui\settings\VideoPlaybackSettingsActivity.kt", "Kotlin", 0, 0, 0, 9, 0, 0, 1, 10
"e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\java\com\vincentwetzel\androidscreensaver\ui\slideshow\SlideshowView.kt", "Kotlin", 0, 0, 0, 28, 0, 3, 4, 35
"e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\java\com\vincentwetzel\androidscreensaver\ui\sources\DropboxAuthActivity.kt", "Kotlin", 0, 0, 0, 112, 0, 12, 23, 147
"e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\java\com\vincentwetzel\androidscreensaver\ui\sources\FolderAdapter.kt", "Kotlin", 0, 0, 0, 3, 0, 0, 0, 3
"e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\java\com\vincentwetzel\androidscreensaver\ui\sources\FolderBrowserActivity.kt", "Kotlin", 0, 0, 0, 130, 0, 9, 20, 159
"e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\java\com\vincentwetzel\androidscreensaver\ui\sources\GalleryFolderBrowserActivity.kt", "Kotlin", 0, 0, 0, 11, 0, 0, 2, 13
"e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\java\com\vincentwetzel\androidscreensaver\ui\sources\GoogleDriveAuthActivity.kt", "Kotlin", 0, 0, 0, 11, 0, 1, 3, 15
"e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\java\com\vincentwetzel\androidscreensaver\utils\DropboxAccountManager.kt", "Kotlin", 0, 0, 0, 32, 0, 1, 2, 35
"e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\java\com\vincentwetzel\androidscreensaver\utils\DropboxOAuthConfig.kt", "Kotlin", 0, 0, 0, 0, 0, -2, 0, -2
"e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\java\com\vincentwetzel\androidscreensaver\utils\GoogleAccountManager.kt", "Kotlin", 0, 0, 0, 4, 0, 2, 1, 7
"e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\java\com\vincentwetzel\androidscreensaver\utils\SettingsManager.kt", "Kotlin", 0, 0, 0, 13, 0, 5, 2, 20
"e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\java\com\vincentwetzel\androidscreensaver\viewmodel\CloudFolderViewModel.kt", "Kotlin", 0, 0, 0, 131, 0, 41, 28, 200
"e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\java\com\vincentwetzel\androidscreensaver\viewmodel\GalleryViewModel.kt", "Kotlin", 0, 0, 0, 15, 0, 1, 1, 17
"e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\java\com\vincentwetzel\androidscreensaver\viewmodel\GoogleDriveViewModel.kt", "Kotlin", 0, 0, 0, -106, 0, -39, -25, -170
"e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\res\layout\activity_dropbox_auth.xml", "XML", 0, 0, 40, 0, 0, 0, 6, 46
"e:\coding_workspaces\Kotlin\AndroidScreensaver\test.py", "Python", 0, 0, 0, 0, -19, -2, -4, -25
"Total", "-", 172, 9, 43, 588, -19, 26, 115, 934
